"State_Year","State","SourceYear","Hydrogencarbonate","Alkalinity_Total","SDP","Gini_Coefficient","win_margin","literacy_rate","gii_rate","ENPP","gini_state"
"Andaman And Nicobar Islands_2000","Andaman And Nicobar Islands",2000,NA,NA,838,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2001","Andaman And Nicobar Islands",2001,NA,NA,857,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2002","Andaman And Nicobar Islands",2002,NA,NA,948,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2003","Andaman And Nicobar Islands",2003,NA,NA,1048,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2004","Andaman And Nicobar Islands",2004,232.433257918552,NA,1633,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2005","Andaman And Nicobar Islands",2005,202.589285714285,NA,1720,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2006","Andaman And Nicobar Islands",2006,NA,NA,2029,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2007","Andaman And Nicobar Islands",2007,250.872596153846,NA,2238,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2008","Andaman And Nicobar Islands",2008,NA,NA,2579,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2009","Andaman And Nicobar Islands",2009,149.511764705882,NA,2911,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2010","Andaman And Nicobar Islands",2010,260.428571428571,NA,3164,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2011","Andaman And Nicobar Islands",2011,274.393939393939,NA,3404,0.315,NA,86.63,0.752,NA,NA
"Andaman And Nicobar Islands_2012","Andaman And Nicobar Islands",2012,209.4,NA,3558,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2013","Andaman And Nicobar Islands",2013,206.305084745763,NA,3811,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2014","Andaman And Nicobar Islands",2014,NA,NA,4151,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2015","Andaman And Nicobar Islands",2015,NA,NA,4483,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2016","Andaman And Nicobar Islands",2016,206.534867302956,NA,5091,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2017","Andaman And Nicobar Islands",2017,NA,NA,5750,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2018","Andaman And Nicobar Islands",2018,195.648390374331,162.138770053476,6108,0.315,NA,86.63,0.704,NA,NA
"Andhra Pradesh_2000","Andhra Pradesh",2000,275.110562697897,NA,126035,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2001","Andhra Pradesh",2001,414.366666666667,NA,131750,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2002","Andhra Pradesh",2002,NA,NA,134749,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2003","Andhra Pradesh",2003,138.95,254.602,147950,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2004","Andhra Pradesh",2004,288.285779414988,255.390851852145,121388,0.297692307692308,46.93,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2005","Andhra Pradesh",2005,399.565143308785,329.398686885578,128150,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2006","Andhra Pradesh",2006,303.662974526353,263.523791071727,141610,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2007","Andhra Pradesh",2007,352.110435222005,293.516575644784,159270,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2008","Andhra Pradesh",2008,360.043686887217,300.329347359289,163341,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2009","Andhra Pradesh",2009,323.325094930911,275.33117702271,174401,0.297692307692308,21.76,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2010","Andhra Pradesh",2010,389.740338626062,324.850654305713,186041,0.297692307692308,21.76,60.47,0.479,2.05385286,0.394
"Andhra Pradesh_2011","Andhra Pradesh",2011,406.638567715837,336.545284605787,339996,0.297692307692308,21.76,67.02,0.479,2.05385286,0.394
"Andhra Pradesh_2012","Andhra Pradesh",2012,NA,NA,341335,0.297692307692308,21.76,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2013","Andhra Pradesh",2013,317.093817412183,272.786379006779,360239,0.297692307692308,21.76,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2014","Andhra Pradesh",2014,336.076981833122,286.982660203431,397064,0.297692307692308,15.98,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2015","Andhra Pradesh",2015,441.373481894199,363.676998034116,446997,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2016","Andhra Pradesh",2016,406.167481970689,NA,477566,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2017","Andhra Pradesh",2017,444.678031109603,366.688450263103,526626,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2018","Andhra Pradesh",2018,444.109744110057,364.820004319683,558862,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Arunachal Pradesh_2000","Arunachal Pradesh",2000,NA,NA,1607,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2001","Arunachal Pradesh",2001,NA,NA,1864,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2002","Arunachal Pradesh",2002,NA,NA,1775,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2003","Arunachal Pradesh",2003,NA,NA,1968,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2004","Arunachal Pradesh",2004,NA,NA,3188,0.29,41.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2005","Arunachal Pradesh",2005,60.7083333333333,NA,3281,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2006","Arunachal Pradesh",2006,88,95.1,3458,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2007","Arunachal Pradesh",2007,56.0416666666667,NA,3873,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2008","Arunachal Pradesh",2008,49.435,NA,4191,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2009","Arunachal Pradesh",2009,124.9275,107.12,4539,0.29,61.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2010","Arunachal Pradesh",2010,66.7291666666667,NA,4735,0.29,61.67,54.34,0.774,1.880877743,0.426
"Arunachal Pradesh_2011","Arunachal Pradesh",2011,NA,NA,10229,0.29,61.67,65.39,0.774,1.880877743,0.426
"Arunachal Pradesh_2012","Arunachal Pradesh",2012,NA,NA,10399,0.29,61.67,65.39,0.789,1.880877743,0.426
"Arunachal Pradesh_2013","Arunachal Pradesh",2013,69.7833333333333,69.715,11226,0.29,61.67,65.39,0.789,1.880877743,0.426
"Arunachal Pradesh_2014","Arunachal Pradesh",2014,66,85.2066666666666,13082,0.29,51.67,65.39,0.789,1.880877743,0.426
"Arunachal Pradesh_2015","Arunachal Pradesh",2015,47.4666666666667,50.464,12889,0.29,51.67,65.39,0.789,2.027027027,0.306
"Arunachal Pradesh_2016","Arunachal Pradesh",2016,44.9583333333333,44.9583333333333,13396,0.29,51.67,65.39,0.789,2.027027027,0.306
"Arunachal Pradesh_2017","Arunachal Pradesh",2017,60.8333333333333,65.8333333333333,13923,0.29,51.67,65.39,0.789,2.027027027,0.306
"Arunachal Pradesh_2018","Arunachal Pradesh",2018,53.2926,54.7106,14897,0.29,51.67,65.39,0.789,2.027027027,0.306
"Assam_2000","Assam",2000,40,NA,32821,0.2264,20.49,63.25,0.628,2.699081945,0.413
"Assam_2001","Assam",2001,NA,NA,33668,0.2264,40.47,63.25,0.628,2.699081945,0.413
"Assam_2002","Assam",2002,NA,NA,35708,0.2264,40.47,63.25,0.628,3.893084846,0.413
"Assam_2003","Assam",2003,NA,NA,37905,0.2264,40.47,63.25,0.628,3.893084846,0.413
"Assam_2004","Assam",2004,NA,NA,47181,0.2264,40.47,63.25,0.628,3.893084846,0.413
"Assam_2005","Assam",2005,133.983158970659,127.247222222222,48602,0.2264,40.47,63.25,0.628,3.893084846,0.413
"Assam_2006","Assam",2006,148.321080611308,81.375,50797,0.2264,23.01,63.25,0.628,3.893084846,0.413
"Assam_2007","Assam",2007,132.520732623858,72.2,52968,0.2264,23.01,63.25,0.628,2.375935349,0.413
"Assam_2008","Assam",2008,152.141308937292,105.25,56123,0.2264,23.01,63.25,0.628,2.375935349,0.413
"Assam_2009","Assam",2009,111.564966895849,97.2728351946839,61294,0.2264,23.01,63.25,0.628,2.375935349,0.413
"Assam_2010","Assam",2010,105.958597883598,NA,64310,0.2264,23.01,63.25,0.628,2.375935349,0.413
"Assam_2011","Assam",2011,148.771469298246,NA,129354,0.2264,47.61,72.19,0.628,2.375935349,0.413
"Assam_2012","Assam",2012,143.357443181818,135.759087301587,132518,0.2264,47.61,72.19,0.598,3.317175094,0.413
"Assam_2013","Assam",2013,101.392255892256,103.878930976431,138725,0.2264,47.61,72.19,0.598,3.317175094,0.413
"Assam_2014","Assam",2014,83.117446279211,122.734095474787,146425,0.2264,47.61,72.19,0.598,3.317175094,0.413
"Assam_2015","Assam",2015,85.8241377488517,106.839419499837,167629,0.2264,47.61,72.19,0.598,3.317175094,0.289
"Assam_2016","Assam",2016,97.5261679966484,113.800554619392,179632,0.2264,26.98,72.19,0.598,3.317175094,0.289
"Assam_2017","Assam",2017,131.760101010101,148.405677655678,195262,0.2264,26.98,72.19,0.598,3.285596026,0.289
"Assam_2018","Assam",2018,113.698369042486,120.89788715415,204627,0.2264,26.98,72.19,0.598,3.285596026,0.289
"Bihar_2000","Bihar",2000,249.513333333333,NA,53656,0.223513513513514,17.59,47,0.698,4.637978263,0.446
"Bihar_2001","Bihar",2001,320.697619047619,NA,50579,0.223513513513514,17.59,47,0.698,5.208520773,0.446
"Bihar_2002","Bihar",2002,NA,NA,56975,0.223513513513514,17.59,47,0.698,5.208520773,0.446
"Bihar_2003","Bihar",2003,NA,NA,53301,0.223513513513514,17.59,47,0.698,5.208520773,0.446
"Bihar_2004","Bihar",2004,346.761904761905,NA,70167,0.223513513513514,17.59,47,0.698,5.208520773,0.446
"Bihar_2005","Bihar",2005,252.094567901235,NA,68419,0.223513513513514,13.58,47,0.698,5.208520773,0.446
"Bihar_2006","Bihar",2006,289.850952380952,NA,80260,0.223513513513514,13.58,47,0.698,2.677594885,0.446
"Bihar_2007","Bihar",2007,250.808705357143,239.337124255952,84415,0.223513513513514,13.58,47,0.698,2.677594885,0.446
"Bihar_2008","Bihar",2008,263.243381696429,NA,97284,0.223513513513514,13.58,47,0.698,2.677594885,0.446
"Bihar_2009","Bihar",2009,248.866854256854,NA,101938,0.223513513513514,13.58,47,0.698,2.677594885,0.446
"Bihar_2010","Bihar",2010,358.323553507424,NA,117503,0.223513513513514,9.87,47,0.698,2.677594885,0.446
"Bihar_2011","Bihar",2011,340.590439335439,NA,228497,0.223513513513514,9.87,61.8,0.698,3.933191234,0.446
"Bihar_2012","Bihar",2012,270.403526014109,NA,236933,0.223513513513514,9.87,61.8,0.682,3.933191234,0.446
"Bihar_2013","Bihar",2013,276.432142285642,NA,246915,0.223513513513514,9.87,61.8,0.682,3.933191234,0.446
"Bihar_2014","Bihar",2014,NA,NA,255739,0.223513513513514,9.87,61.8,0.682,3.933191234,0.446
"Bihar_2015","Bihar",2015,NA,NA,269200,0.223513513513514,3.7,61.8,0.682,3.933191234,0.401
"Bihar_2016","Bihar",2016,273.843818618461,0,289265,0.223513513513514,3.7,61.8,0.682,4.366560674,0.401
"Bihar_2017","Bihar",2017,79.5,95,312605,0.223513513513514,3.7,61.8,0.682,4.366560674,0.401
"Bihar_2018","Bihar",2018,48.8,40,345545,0.223513513513514,3.7,61.8,0.682,4.366560674,0.401
"Chandigarh_2000","Chandigarh",2000,164,134.4,4274,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2001","Chandigarh",2001,NA,NA,4649,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2002","Chandigarh",2002,NA,NA,5235,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2003","Chandigarh",2003,NA,NA,5804,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2004","Chandigarh",2004,408,334.4,7610,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2005","Chandigarh",2005,408,334.4,8442,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2006","Chandigarh",2006,607,497.5,9690,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2007","Chandigarh",2007,279.333333333333,228.933333333333,10405,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2008","Chandigarh",2008,NA,NA,11187,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2009","Chandigarh",2009,290,237.7,11767,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2010","Chandigarh",2010,184.666666666667,151.366666666667,11765,0.39,NA,81.94,0.733,NA,NA
"Chandigarh_2011","Chandigarh",2011,NA,NA,16930,0.39,NA,86.05,0.733,NA,NA
"Chandigarh_2012","Chandigarh",2012,166.666666666667,136.633333333333,18305,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2013","Chandigarh",2013,255.666666666667,216.233333333333,19813,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2014","Chandigarh",2014,462,378.69,20353,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2015","Chandigarh",2015,113,130.955,22058,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2016","Chandigarh",2016,NA,NA,23842,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2017","Chandigarh",2017,0,475.666666666667,25289,0.39,NA,86.05,0.413,NA,NA
"Chandigarh_2018","Chandigarh",2018,281,0,26654,0.39,NA,86.05,0.413,NA,NA
"Chhattisgarh_2000","Chhattisgarh",2000,NA,NA,22372,0.292666666666667,NA,64.66,0.492,2.090862158,0.46
"Chhattisgarh_2001","Chhattisgarh",2001,134.123040411807,NA,25503,0.292666666666667,NA,64.66,0.492,2.090862158,0.46
"Chhattisgarh_2002","Chhattisgarh",2002,164.536378790826,NA,25072,0.292666666666667,NA,64.66,0.492,2.090862158,0.46
"Chhattisgarh_2003","Chhattisgarh",2003,230.4,NA,29782,0.292666666666667,14.44,64.66,0.492,2.090862158,0.46
"Chhattisgarh_2004","Chhattisgarh",2004,195.585671908604,160.347266521233,41387,0.292666666666667,14.44,64.66,0.492,2.051671733,0.46
"Chhattisgarh_2005","Chhattisgarh",2005,189.301366679016,154.993904172211,42063,0.292666666666667,14.44,64.66,0.492,2.051671733,0.46
"Chhattisgarh_2006","Chhattisgarh",2006,165.060329251439,135.305900493316,50065,0.292666666666667,14.44,64.66,0.492,2.051671733,0.46
"Chhattisgarh_2007","Chhattisgarh",2007,149.422552067026,122.486689186939,54112,0.292666666666667,14.44,64.66,0.492,2.051671733,0.46
"Chhattisgarh_2008","Chhattisgarh",2008,132.867334369228,112.352078262916,57662,0.292666666666667,13.33,64.66,0.492,2.051671733,0.46
"Chhattisgarh_2009","Chhattisgarh",2009,165.868084693085,138.432470862471,59263,0.292666666666667,13.33,64.66,0.492,2.064220183,0.46
"Chhattisgarh_2010","Chhattisgarh",2010,NA,NA,64977,0.292666666666667,13.33,64.66,0.492,2.064220183,0.46
"Chhattisgarh_2011","Chhattisgarh",2011,150.914444444444,125.727878787879,142273,0.292666666666667,13.33,70.28,0.492,2.064220183,0.46
"Chhattisgarh_2012","Chhattisgarh",2012,210.311503935823,172.724437595855,148760,0.292666666666667,13.33,70.28,0.44,2.064220183,0.46
"Chhattisgarh_2013","Chhattisgarh",2013,140.4077389083,117.309488777239,163494,0.292666666666667,11.11,70.28,0.44,2.064220183,0.46
"Chhattisgarh_2014","Chhattisgarh",2014,133.156627751789,109.621261724288,165354,0.292666666666667,11.11,70.28,0.44,1.660516605,0.46
"Chhattisgarh_2015","Chhattisgarh",2015,11.669413457158,117.259102060941,168879,0.292666666666667,11.11,70.28,0.44,1.660516605,0.342
"Chhattisgarh_2016","Chhattisgarh",2016,144.997888423217,123.452994826258,187541,0.292666666666667,11.11,70.28,0.44,1.660516605,0.342
"Chhattisgarh_2017","Chhattisgarh",2017,160.952322831417,NA,194073,0.292666666666667,11.11,70.28,0.44,1.660516605,0.342
"Chhattisgarh_2018","Chhattisgarh",2018,172.280818674621,0,209211,0.292666666666667,58.88,70.28,0.44,1.660516605,0.342
"Delhi_2000","Delhi",2000,391.155864197531,320.629166666667,53177,0.3275,52.85,81.67,0.526,1.875957121,0.236
"Delhi_2001","Delhi",2001,369.619047619048,302.97619047619,55222,0.3275,52.85,81.67,0.526,1.875957121,0.236
"Delhi_2002","Delhi",2002,255.941404428904,223.056118881119,59454,0.3275,52.85,81.67,0.526,1.875957121,0.236
"Delhi_2003","Delhi",2003,318.092,260.752,62694,0.3275,38.57,81.67,0.526,1.875957121,0.236
"Delhi_2004","Delhi",2004,343.5,281.566666666667,94717,0.3275,38.57,81.67,0.526,2.055369128,0.236
"Delhi_2005","Delhi",2005,381.326388888889,320.396825396825,104473,0.3275,38.57,81.67,0.526,2.055369128,0.236
"Delhi_2006","Delhi",2006,433.161111111111,355.062301587302,117444,0.3275,38.57,81.67,0.526,2.055369128,0.236
"Delhi_2007","Delhi",2007,224.353174603175,185.851587301587,130683,0.3275,38.57,81.67,0.526,2.055369128,0.236
"Delhi_2008","Delhi",2008,356.777861721612,292.780803571429,146961,0.3275,28.57,81.67,0.526,2.055369128,0.236
"Delhi_2009","Delhi",2009,345.267536231884,283.015884057971,159044,0.3275,28.57,81.67,0.526,2.70419426,0.236
"Delhi_2010","Delhi",2010,300.23725949976,247.815242905243,172235,0.3275,28.57,81.67,0.526,2.70419426,0.236
"Goa_2000","Goa",2000,NA,NA,5287,0.25,27.5,82.01,0.733,2.857142857,0.263
"Goa_2001","Goa",2001,59.675,48.9169642857143,5492,0.25,27.5,82.01,0.733,2.857142857,0.263
"Goa_2002","Goa",2002,NA,NA,5826,0.25,2.5,82.01,0.733,2.857142857,0.263
"Goa_2003","Goa",2003,NA,NA,6225,0.25,2.5,82.01,0.733,3.375527426,0.263
"Goa_2004","Goa",2004,NA,NA,10999,0.25,2.5,82.01,0.733,3.375527426,0.263
"Goa_2005","Goa",2005,238.5,215.5,11916,0.25,2.5,82.01,0.733,3.375527426,0.263
"Goa_2006","Goa",2006,NA,NA,13085,0.25,2.5,82.01,0.733,3.375527426,0.263
"Goa_2007","Goa",2007,45.6538461538461,13.6162878787879,13655,0.25,5,82.01,0.733,3.375527426,0.263
"Goa_2008","Goa",2008,168.271428571428,160.499285714286,14728,0.25,5,82.01,0.733,2.857142857,0.263
"Goa_2009","Goa",2009,NA,NA,16119,0.25,5,82.01,0.733,2.857142857,0.263
"Goa_2010","Goa",2010,NA,NA,19293,0.25,5,82.01,0.733,2.857142857,0.263
"Goa_2011","Goa",2011,67.4714285714285,60.2140271493213,38009,0.25,5,88.7,0.733,2.857142857,0.263
"Goa_2012","Goa",2012,51.9916666666666,54.6433333333333,32453,0.25,30,88.7,0.646,2.857142857,0.263
"Goa_2013","Goa",2013,49.7332251082251,54.7906212664277,27971,0.25,30,88.7,0.646,3.29218107,0.263
"Goa_2014","Goa",2014,46.1294642857143,37.1532207661291,36042,0.25,30,88.7,0.646,3.29218107,0.263
"Goa_2015","Goa",2015,12,NA,41929,0.25,30,88.7,0.646,3.29218107,0.18
"Goa_2016","Goa",2016,NA,NA,46371,0.25,30,88.7,0.646,3.29218107,0.18
"Goa_2017","Goa",2017,43.7267857142857,0,47077,0.25,10,88.7,0.646,3.29218107,0.18
"Goa_2018","Goa",2018,36.16375,0,47425,0.25,10,88.7,0.646,2.962962963,0.18
"Gujarat_2000","Gujarat",2000,375.727767392571,NA,86431,0.264,35.16,69.14,0.468,1.76774469,0.333
"Gujarat_2001","Gujarat",2001,NA,NA,93455,0.264,35.16,69.14,0.468,1.76774469,0.333
"Gujarat_2002","Gujarat",2002,340.318488797489,279.138074372275,101603,0.264,41.75,69.14,0.468,1.76774469,0.333
"Gujarat_2003","Gujarat",2003,NA,NA,118525,0.264,41.75,69.14,0.468,1.927607076,0.333
"Gujarat_2004","Gujarat",2004,352.331449103791,290.469656976611,172265,0.264,41.75,69.14,0.468,1.927607076,0.333
"Gujarat_2005","Gujarat",2005,295.689639377474,258.660712626847,197270,0.264,41.75,69.14,0.468,1.927607076,0.333
"Gujarat_2006","Gujarat",2006,370.046394662214,314.144839266289,213954,0.264,41.75,69.14,0.468,1.927607076,0.333
"Gujarat_2007","Gujarat",2007,376.946999007323,315.505920394308,239253,0.264,31.86,69.14,0.468,1.927607076,0.333
"Gujarat_2008","Gujarat",2008,368.557215003269,305.837424311373,249480,0.264,31.86,69.14,0.468,1.953526775,0.333
"Gujarat_2009","Gujarat",2009,404.885627569861,333.934967289675,284732,0.264,31.86,69.14,0.468,1.953526775,0.333
"Gujarat_2010","Gujarat",2010,433.021387027377,357.30380032186,315892,0.264,31.86,69.14,0.468,1.953526775,0.333
"Gujarat_2011","Gujarat",2011,436.236870595521,360.261851945853,532809,0.264,31.86,78.03,0.468,1.953526775,0.333
"Gujarat_2012","Gujarat",2012,399.906556245202,340.198253124726,596659,0.264,29.67,78.03,0.425,1.953526775,0.333
"Gujarat_2013","Gujarat",2013,425.029985849261,348.657781554769,641489,0.264,29.67,78.03,0.425,2.103912602,0.333
"Gujarat_2014","Gujarat",2014,431.586215509436,354.532955021041,705629,0.264,29.67,78.03,0.425,2.103912602,0.333
"Gujarat_2015","Gujarat",2015,390.352641878364,335.71103211333,774775,0.264,29.67,78.03,0.425,2.103912602,0.269
"Gujarat_2016","Gujarat",2016,409.877669099432,352.531739818399,843930,0.264,29.67,78.03,0.425,2.103912602,0.269
"Gujarat_2017","Gujarat",2017,439.146597320393,367.72003319214,946511,0.264,12.08,78.03,0.425,2.103912602,0.269
"Gujarat_2018","Gujarat",2018,315.564053511848,269.150002186706,1034399,0.264,12.08,78.03,0.425,2.103912602,0.269
"Haryana_2000","Haryana",2000,383.338516307844,290.2,51090,0.311052631578947,28.88,67.91,0.504,2.878464819,0.331
"Haryana_2001","Haryana",2001,378.692307692308,519.8,55036,0.311052631578947,28.88,67.91,0.504,1.732249786,0.331
"Haryana_2002","Haryana",2002,450.406029903819,360.3,58410,0.311052631578947,28.88,67.91,0.504,1.732249786,0.331
"Haryana_2003","Haryana",2003,370,271.3,64156,0.311052631578947,28.88,67.91,0.504,1.732249786,0.331
"Haryana_2004","Haryana",2004,374.127378670523,314.856274119885,86222,0.311052631578947,28.88,67.91,0.504,1.732249786,0.331
"Haryana_2005","Haryana",2005,406.954087140929,347.734206349206,94011,0.311052631578947,64.44,67.91,0.504,3.040540541,0.331
"Haryana_2006","Haryana",2006,371.569792086634,324.898980453319,104700,0.311052631578947,64.44,67.91,0.504,3.040540541,0.331
"Haryana_2007","Haryana",2007,387.629185363909,321.759247299873,112896,0.311052631578947,64.44,67.91,0.504,3.040540541,0.331
"Haryana_2008","Haryana",2008,455.042776174849,379.450263699385,121588,0.311052631578947,64.44,67.91,0.504,3.040540541,0.331
"Haryana_2009","Haryana",2009,392.089853069433,334.674680900399,136780,0.311052631578947,64.44,67.91,0.504,3.040540541,0.331
"Haryana_2010","Haryana",2010,324.682402234204,286.190189123785,146053,0.311052631578947,10,67.91,0.504,2.866242038,0.331
"Haryana_2011","Haryana",2011,622,509.8,271152,0.311052631578947,10,75.55,0.504,2.866242038,0.331
"Haryana_2012","Haryana",2012,291.987992643135,285.19145489808,289756,0.311052631578947,10,75.55,0.462,2.866242038,0.331
"Haryana_2013","Haryana",2013,304.850956421502,280.714966417647,314931,0.311052631578947,10,75.55,0.462,2.866242038,0.331
"Haryana_2014","Haryana",2014,332.174405767588,316.694533016066,333359,0.311052631578947,31.11,75.55,0.462,2.866242038,0.331
"Haryana_2015","Haryana",2015,311.11719411255,307.576859328264,372700,0.311052631578947,31.11,75.55,0.462,2.986725664,0.2
"Haryana_2016","Haryana",2016,311.615718985832,302.453035714286,412055,0.311052631578947,31.11,75.55,0.462,2.986725664,0.2
"Haryana_2017","Haryana",2017,376.057291442481,NA,434407,0.311052631578947,31.11,75.55,0.462,2.986725664,0.2
"Haryana_2018","Haryana",2018,345.735030944492,0,470328,0.311052631578947,31.11,75.55,0.462,2.986725664,0.2
"Himachal Pradesh_2000","Himachal Pradesh",2000,168.101851851852,139.208333333333,13262,0.28125,4.5,76.48,0.296,2.156716418,0.277
"Himachal Pradesh_2001","Himachal Pradesh",2001,217.9,178.6085,13938,0.28125,4.5,76.48,0.296,2.156716418,0.277
