"State_Year","State","SourceYear","Hydrogencarbonate","Alkalinity_Total","SDP","Gini_Coefficient","win_margin","literacy_rate","gii_rate","ENPP","gini_state"
"Himachal Pradesh_2002","Himachal Pradesh",2002,185.251282051282,152.231239316239,14617,0.28125,4.5,76.48,0.296,2.156716418,0.277
"Himachal Pradesh_2003","Himachal Pradesh",2003,205.40289034274,168.364125476028,15596,0.28125,39.7,76.48,0.296,2.156716418,0.277
"Himachal Pradesh_2004","Himachal Pradesh",2004,262.617777777778,215.261027777778,21189,0.28125,39.7,76.48,0.296,2.082882883,0.277
"Himachal Pradesh_2005","Himachal Pradesh",2005,221.951345755694,182.366033000816,23009,0.28125,39.7,76.48,0.296,2.082882883,0.277
"Himachal Pradesh_2006","Himachal Pradesh",2006,164.001456386751,142.674866610514,24819,0.28125,39.7,76.48,0.296,2.082882883,0.277
"Himachal Pradesh_2007","Himachal Pradesh",2007,196.365047650762,160.954122742337,26362,0.28125,26.47,76.48,0.296,2.082882883,0.277
"Himachal Pradesh_2008","Himachal Pradesh",2008,242.230326333432,199.654490633935,27649,0.28125,26.47,76.48,0.296,2.314314314,0.277
"Himachal Pradesh_2009","Himachal Pradesh",2009,230.061507936508,188.575246031746,29149,0.28125,26.47,76.48,0.296,2.314314314,0.277
"Himachal Pradesh_2010","Himachal Pradesh",2010,177.823153899241,145.757012249827,31590,0.28125,26.47,76.48,0.296,2.314314314,0.277
"Himachal Pradesh_2011","Himachal Pradesh",2011,189.970169362801,160.937098746867,60536,0.28125,26.47,82.8,0.296,2.314314314,0.277
"Himachal Pradesh_2012","Himachal Pradesh",2012,153.851572447161,126.52470715559,64519,0.28125,14.7,82.8,0.373,2.314314314,0.277
"Himachal Pradesh_2013","Himachal Pradesh",2013,211.832491582492,176.916624579125,69398,0.28125,14.7,82.8,0.373,1.941225861,0.277
"Himachal Pradesh_2014","Himachal Pradesh",2014,169.651301587302,139.078371428571,74553,0.28125,14.7,82.8,0.373,1.941225861,0.277
"Himachal Pradesh_2015","Himachal Pradesh",2015,154.599444444445,131.637740740741,80563,0.28125,14.7,82.8,0.373,1.941225861,0.2
"Himachal Pradesh_2016","Himachal Pradesh",2016,155,NA,88112,0.28125,14.7,82.8,0.373,1.941225861,0.2
"Himachal Pradesh_2017","Himachal Pradesh",2017,345,NA,93525,0.28125,33.82,82.8,0.373,1.941225861,0.2
"Himachal Pradesh_2018","Himachal Pradesh",2018,119.288927218615,0,99218,0.28125,33.82,82.8,0.373,1.941225861,0.2
"Jammu And Kashmir_2000","Jammu And Kashmir",2000,205.47118691242,NA,13917,0.231111111111111,56.32,55.52,0.697,4.635027557,0.322
"Jammu And Kashmir_2001","Jammu And Kashmir",2001,263.469886363636,NA,14185,0.231111111111111,56.32,55.52,0.697,4.635027557,0.322
"Jammu And Kashmir_2002","Jammu And Kashmir",2002,272.244988738739,NA,14907,0.231111111111111,9.19,55.52,0.697,4.635027557,0.322
"Jammu And Kashmir_2003","Jammu And Kashmir",2003,280.430224586288,NA,15673,0.231111111111111,9.19,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2004","Jammu And Kashmir",2004,360.726126126126,NA,23292,0.231111111111111,9.19,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2005","Jammu And Kashmir",2005,296.535651936716,NA,24371,0.231111111111111,9.19,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2006","Jammu And Kashmir",2006,229.663059033989,NA,25794,0.231111111111111,9.19,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2007","Jammu And Kashmir",2007,214.45,NA,27387,0.231111111111111,9.19,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2008","Jammu And Kashmir",2008,319.343618851049,NA,29102,0.231111111111111,8.04,55.52,0.697,4.551413109,0.322
"Jammu And Kashmir_2009","Jammu And Kashmir",2009,274.161058201058,NA,30512,0.231111111111111,8.04,55.52,0.697,4.22141662,0.322
"Jammu And Kashmir_2010","Jammu And Kashmir",2010,197.653128955998,NA,32256,0.231111111111111,8.04,55.52,0.697,4.22141662,0.322
"Jammu And Kashmir_2011","Jammu And Kashmir",2011,NA,NA,65319,0.231111111111111,8.04,67.16,0.697,4.22141662,0.322
"Jammu And Kashmir_2012","Jammu And Kashmir",2012,250.571843980935,NA,67316,0.231111111111111,8.04,67.16,0.374,4.22141662,0.322
"Jammu And Kashmir_2013","Jammu And Kashmir",2013,292.874323924278,240.801001797551,70536,0.231111111111111,8.04,67.16,0.374,4.22141662,0.322
"Jammu And Kashmir_2014","Jammu And Kashmir",2014,232.084592352092,190.733058116883,67154,0.231111111111111,3.44,67.16,0.374,4.22141662,0.322
"Jammu And Kashmir_2015","Jammu And Kashmir",2015,173.931351752822,155.506432575758,80602,0.231111111111111,3.44,67.16,0.374,NA,0.256
"Jammu And Kashmir_2016","Jammu And Kashmir",2016,237.574899243436,0,82636,0.231111111111111,3.44,67.16,0.374,NA,0.256
"Jammu And Kashmir_2017","Jammu And Kashmir",2017,NA,NA,87591,0.231111111111111,3.44,67.16,0.374,NA,0.256
"Jammu And Kashmir_2018","Jammu And Kashmir",2018,NA,NA,93072,0.231111111111111,3.44,67.16,0.374,NA,0.256
"Jharkhand_2000","Jharkhand",2000,198.033333333333,NA,26663,0.243809523809524,NA,53.56,0.624,4.757795504,0.535
"Jharkhand_2001","Jharkhand",2001,137.142857142857,NA,28500,0.243809523809524,NA,53.56,0.624,4.757795504,0.535
"Jharkhand_2002","Jharkhand",2002,142.480666666667,NA,29298,0.243809523809524,NA,53.56,0.624,4.757795504,0.535
"Jharkhand_2003","Jharkhand",2003,NA,NA,31515,0.243809523809524,NA,53.56,0.624,4.757795504,0.535
"Jharkhand_2004","Jharkhand",2004,198.06149068323,NA,53056,0.243809523809524,NA,53.56,0.624,4.757795504,0.535
"Jharkhand_2005","Jharkhand",2005,174.432027972028,NA,50678,0.243809523809524,16.04,53.56,0.624,4.757795504,0.535
"Jharkhand_2006","Jharkhand",2006,174.143154761905,NA,51527,0.243809523809524,16.04,53.56,0.624,6.376093294,0.535
"Jharkhand_2007","Jharkhand",2007,336.920816980639,276.628413788592,63005,0.243809523809524,16.04,53.56,0.624,6.376093294,0.535
"Jharkhand_2008","Jharkhand",2008,251.806411049268,NA,60472,0.243809523809524,16.04,53.56,0.624,6.376093294,0.535
"Jharkhand_2009","Jharkhand",2009,243.554753579754,35,66465,0.243809523809524,5,53.56,0.624,6.376093294,0.535
"Jharkhand_2010","Jharkhand",2010,196.61646300669,NA,76134,0.243809523809524,5,53.56,0.624,3.525523912,0.535
"Jharkhand_2011","Jharkhand",2011,213.949017762661,NA,137383,0.243809523809524,5,66.41,0.624,3.525523912,0.535
"Jharkhand_2012","Jharkhand",2012,233.168813701669,NA,149526,0.243809523809524,5,66.41,0.741,3.525523912,0.535
"Jharkhand_2013","Jharkhand",2013,250.716886551271,110,150609,0.243809523809524,5,66.41,0.741,3.525523912,0.535
"Jharkhand_2014","Jharkhand",2014,329,269.67,170568,0.243809523809524,22.22,66.41,0.741,3.525523912,0.535
"Jharkhand_2015","Jharkhand",2015,67,54.92,158231,0.243809523809524,22.22,66.41,0.741,3.642976124,0.396
"Jharkhand_2016","Jharkhand",2016,256,NA,176363,0.243809523809524,22.22,66.41,0.741,3.642976124,0.396
"Jharkhand_2017","Jharkhand",2017,156,127.91,191573,0.243809523809524,22.22,66.41,0.741,3.642976124,0.396
"Jharkhand_2018","Jharkhand",2018,273.533333333333,224.206666666667,208701,0.243809523809524,22.22,66.41,0.741,3.642976124,0.396
"Karnataka_2000","Karnataka",2000,280,NA,91136,0.281153846153846,39.28,66.6,0.546,3.576846307,0.396
"Karnataka_2001","Karnataka",2001,209.374995705353,NA,92788,0.281153846153846,39.28,66.6,0.546,3.576846307,0.396
"Karnataka_2002","Karnataka",2002,NA,274.9,97765,0.281153846153846,39.28,66.6,0.546,3.576846307,0.396
"Karnataka_2003","Karnataka",2003,277.836274836275,252.969536019536,99669,0.281153846153846,39.28,66.6,0.546,3.576846307,0.396
"Karnataka_2004","Karnataka",2004,NA,NA,148729,0.281153846153846,6.25,66.6,0.546,3.576846307,0.396
"Karnataka_2005","Karnataka",2005,239.142137896825,204.433073679792,164031,0.281153846153846,6.25,66.6,0.546,2.597101449,0.396
"Karnataka_2006","Karnataka",2006,212.031711145997,181.610495911651,181086,0.281153846153846,6.25,66.6,0.546,2.597101449,0.396
"Karnataka_2007","Karnataka",2007,261.529022556391,229.064165413534,203810,0.281153846153846,6.25,66.6,0.546,2.597101449,0.396
"Karnataka_2008","Karnataka",2008,NA,NA,218309,0.281153846153846,13.29,66.6,0.546,2.597101449,0.396
"Karnataka_2009","Karnataka",2009,130.195538007301,156.831334910907,218363,0.281153846153846,13.29,66.6,0.546,2.753896817,0.396
"Karnataka_2010","Karnataka",2010,147.61538961039,122.8125,240817,0.281153846153846,13.29,66.6,0.546,2.753896817,0.396
"Karnataka_2011","Karnataka",2011,203.564289529915,174.124656091035,554952,0.281153846153846,13.29,75.37,0.546,2.753896817,0.396
"Karnataka_2012","Karnataka",2012,72.3948863636363,66.6490469208211,593192,0.281153846153846,13.29,75.37,0.464,2.753896817,0.396
"Karnataka_2013","Karnataka",2013,227.371384199757,197.759409103383,646787,0.281153846153846,36.6,75.37,0.464,2.753896817,0.396
"Karnataka_2014","Karnataka",2014,203.924171213973,184.313745760946,671283,0.281153846153846,36.6,75.37,0.464,2.699375941,0.396
"Karnataka_2015","Karnataka",2015,350.5,324.795,749952,0.281153846153846,36.6,75.37,0.464,2.699375941,0.257
"Karnataka_2016","Karnataka",2016,201.478384629639,0,851394,0.281153846153846,36.6,75.37,0.464,2.699375941,0.257
"Karnataka_2017","Karnataka",2017,48.8,0,915642,0.281153846153846,36.6,75.37,0.464,2.699375941,0.257
"Karnataka_2018","Karnataka",2018,193.570444736024,0,974815,0.281153846153846,10.71,75.37,0.464,2.699375941,0.257
"Kerala_2000","Kerala",2000,31.1315151515152,55.3,62909,0.347142857142857,2.14,90.86,0.474,4.068078041,0.241
"Kerala_2001","Kerala",2001,58.9414040848639,30.3,66052,0.347142857142857,27.85,90.86,0.474,4.068078041,0.241
"Kerala_2002","Kerala",2002,59.7496542085734,66.5888888888889,70885,0.347142857142857,27.85,90.86,0.474,4.112463282,0.241
"Kerala_2003","Kerala",2003,NA,NA,75479,0.347142857142857,27.85,90.86,0.474,4.112463282,0.241
"Kerala_2004","Kerala",2004,50.5824776536275,43.395544298482,104776,0.347142857142857,27.85,90.86,0.474,4.112463282,0.241
"Kerala_2005","Kerala",2005,NA,NA,115500,0.347142857142857,27.85,90.86,0.474,4.112463282,0.241
"Kerala_2006","Kerala",2006,102.827192982456,100.454385964912,124625,0.347142857142857,26.42,90.86,0.474,4.112463282,0.241
"Kerala_2007","Kerala",2007,42.5729625390314,41.4788377336932,135747,0.347142857142857,26.42,90.86,0.474,4.718343765,0.241
"Kerala_2008","Kerala",2008,41.9634601997521,39.2078384662277,144094,0.347142857142857,26.42,90.86,0.474,4.718343765,0.241
"Kerala_2009","Kerala",2009,31.31875,27.290625,157123,0.347142857142857,26.42,90.86,0.474,4.718343765,0.241
"Kerala_2010","Kerala",2010,35.8893221536887,32.7207821073854,167178,0.347142857142857,26.42,90.86,0.474,4.718343765,0.241
"Kerala_2011","Kerala",2011,61.1014730639731,57.0399410512997,328021,0.347142857142857,5,94,0.474,4.718343765,0.241
"Kerala_2012","Kerala",2012,NA,NA,348616,0.347142857142857,5,94,0.418,4.238754325,0.241
"Kerala_2013","Kerala",2013,NA,NA,364707,0.347142857142857,5,94,0.418,4.238754325,0.241
"Kerala_2014","Kerala",2014,54.5843667395729,47.3900984848485,382134,0.347142857142857,5,94,0.418,4.238754325,0.241
"Kerala_2015","Kerala",2015,53.8334626834977,46.3712655025627,411150,0.347142857142857,5,94,0.418,4.238754325,0.169
"Kerala_2016","Kerala",2016,72.792122219841,94.1221212121212,443615,0.347142857142857,25.71,94,0.418,4.238754325,0.169
"Kerala_2017","Kerala",2017,90.482549346715,69.8697863200404,473182,0.347142857142857,25.71,94,0.418,4.016393443,0.169
"Kerala_2018","Kerala",2018,64.7895999975401,53.3152887401986,510787,0.347142857142857,25.71,94,0.418,4.016393443,0.169
"Madhya Pradesh_2000","Madhya Pradesh",2000,358.276877726132,NA,66750,0.277,16.56,63.74,0.523,1.682248935,0.498
"Madhya Pradesh_2001","Madhya Pradesh",2001,338.789469856401,345.1,71525,0.277,16.56,63.74,0.523,1.682248935,0.498
"Madhya Pradesh_2002","Madhya Pradesh",2002,299.584088744477,152.0875,67795,0.277,16.56,63.74,0.523,1.682248935,0.498
"Madhya Pradesh_2003","Madhya Pradesh",2003,NA,NA,75400,0.277,58.69,63.74,0.523,1.682248935,0.498
"Madhya Pradesh_2004","Madhya Pradesh",2004,291.131344054251,239.54362243426,99940,0.277,58.69,63.74,0.523,2.068507078,0.498
"Madhya Pradesh_2005","Madhya Pradesh",2005,260.050775832739,215.889910977053,104975,0.277,58.69,63.74,0.523,2.068507078,0.498
"Madhya Pradesh_2006","Madhya Pradesh",2006,284.066107367423,234.736810472797,114545,0.277,58.69,63.74,0.523,2.068507078,0.498
"Madhya Pradesh_2007","Madhya Pradesh",2007,311.409824348451,256.384436963108,119958,0.277,58.69,63.74,0.523,2.068507078,0.498
"Madhya Pradesh_2008","Madhya Pradesh",2008,347.538663664076,284.848797585784,135124,0.277,31.3,63.74,0.523,2.068507078,0.498
"Madhya Pradesh_2009","Madhya Pradesh",2009,313.617215096156,258.721079513299,147933,0.277,31.3,63.74,0.523,1.727967597,0.498
"Madhya Pradesh_2010","Madhya Pradesh",2010,307.168919311135,251.96637503237,155701,0.277,31.3,63.74,0.523,1.727967597,0.498
"Madhya Pradesh_2011","Madhya Pradesh",2011,300.02311431395,246.671902500865,282371,0.277,31.3,69.32,0.523,1.727967597,0.498
"Madhya Pradesh_2012","Madhya Pradesh",2012,279.429894149829,245.649683185404,306853,0.277,31.3,69.32,0.488,1.727967597,0.498
"Madhya Pradesh_2013","Madhya Pradesh",2013,257.359795214401,208.107188296174,322598,0.277,46.52,69.32,0.488,1.727967597,0.498
"Madhya Pradesh_2014","Madhya Pradesh",2014,290.581207615355,247.443795153902,339247,0.277,46.52,69.32,0.488,2.124668648,0.498
"Madhya Pradesh_2015","Madhya Pradesh",2015,286.889315180783,237.861694458557,370716,0.277,46.52,69.32,0.488,2.124668648,0.376
"Madhya Pradesh_2016","Madhya Pradesh",2016,267.49817684615,NA,419465,0.277,46.52,69.32,0.488,2.124668648,0.376
"Madhya Pradesh_2017","Madhya Pradesh",2017,343.163392325084,575.41,441956,0.277,46.52,69.32,0.488,2.124668648,0.376
"Madhya Pradesh_2018","Madhya Pradesh",2018,339.736822053955,8.6066,482361,0.277,2.17,69.32,0.488,2.124668648,0.376
"Maharashtra_2000","Maharashtra",2000,325.632670518806,259.225,210526,0.274705882352941,2.08,76.88,0.48,4.891719745,0.375
"Maharashtra_2001","Maharashtra",2001,347.742382655577,331.716666666667,217963,0.274705882352941,2.08,76.88,0.48,4.891719745,0.375
"Maharashtra_2002","Maharashtra",2002,280.040414084764,166.425,232994,0.274705882352941,2.08,76.88,0.48,4.891719745,0.375
"Maharashtra_2003","Maharashtra",2003,NA,NA,250989,0.274705882352941,2.08,76.88,0.48,4.891719745,0.375
"Maharashtra_2004","Maharashtra",2004,320.59781328661,158.8,370023,0.274705882352941,0.69,76.88,0.48,4.891719745,0.375
"Maharashtra_2005","Maharashtra",2005,291.930299508357,365.2,423632,0.274705882352941,0.69,76.88,0.48,5.38247891,0.375
"Maharashtra_2006","Maharashtra",2006,254.372110672032,200,481983,0.274705882352941,0.69,76.88,0.48,5.38247891,0.375
"Maharashtra_2007","Maharashtra",2007,283.992188839479,360.1,538081,0.274705882352941,0.69,76.88,0.48,5.38247891,0.375
"Maharashtra_2008","Maharashtra",2008,270.539896898881,281.689523809524,546533,0.274705882352941,0.69,76.88,0.48,5.38247891,0.375
"Maharashtra_2009","Maharashtra",2009,263.162515572129,216.243388132964,599338,0.274705882352941,6.94,76.88,0.48,5.38247891,0.375
"Maharashtra_2010","Maharashtra",2010,NA,9.8,667625,0.274705882352941,6.94,76.88,0.48,3.707160097,0.375
"Maharashtra_2011","Maharashtra",2011,273.208053371923,226.846388018739,1126595,0.274705882352941,6.94,82.34,0.48,3.707160097,0.375
"Maharashtra_2012","Maharashtra",2012,248.190312104549,212.650620018875,1189711,0.274705882352941,6.94,82.34,0.34,3.707160097,0.375
"Maharashtra_2013","Maharashtra",2013,239.886466299013,202.543586249584,1267551,0.274705882352941,6.94,82.34,0.34,3.707160097,0.375
"Maharashtra_2014","Maharashtra",2014,221.899144079422,184.406998366088,1345341,0.274705882352941,20.48,82.34,0.34,3.707160097,0.375
"Maharashtra_2015","Maharashtra",2015,253.700046954665,209.529838869289,1452513,0.274705882352941,20.48,82.34,0.34,4.317751171,0.275
"Maharashtra_2016","Maharashtra",2016,285.610270821456,216.421515151515,1596121,0.274705882352941,20.48,82.34,0.34,4.317751171,0.275
"Maharashtra_2017","Maharashtra",2017,348.301883489606,NA,1661065,0.274705882352941,20.48,82.34,0.34,4.317751171,0.275
"Maharashtra_2018","Maharashtra",2018,408.575499047265,0,1728578,0.274705882352941,20.48,82.34,0.34,4.317751171,0.275
"Meghalaya_2000","Meghalaya",2000,NA,NA,3422,0.196666666666667,8.33,62.56,0.48,4.422604423,0.366
"Meghalaya_2001","Meghalaya",2001,NA,NA,3651,0.196666666666667,8.33,62.56,0.48,4.422604423,0.366
"Meghalaya_2002","Meghalaya",2002,NA,NA,3759,0.196666666666667,8.33,62.56,0.48,4.422604423,0.366
"Meghalaya_2003","Meghalaya",2003,NA,NA,3993,0.196666666666667,13.33,62.56,0.48,4.422604423,0.366
"Meghalaya_2004","Meghalaya",2004,NA,NA,5846,0.196666666666667,13.33,62.56,0.48,3.577595067,0.366
"Meghalaya_2005","Meghalaya",2005,58.3869047619048,47.853373015873,6303,0.196666666666667,13.33,62.56,0.48,3.577595067,0.366
"Meghalaya_2006","Meghalaya",2006,59.1222222222222,48.4842592592593,6778,0.196666666666667,13.33,62.56,0.48,3.577595067,0.366
"Meghalaya_2007","Meghalaya",2007,55.1780303030303,45.2337121212121,6991,0.196666666666667,13.33,62.56,0.48,3.577595067,0.366
"Meghalaya_2008","Meghalaya",2008,57.8015873015873,47.4865079365079,7889,0.196666666666667,18.64,62.56,0.48,3.577595067,0.366
"Meghalaya_2009","Meghalaya",2009,60.3333333333333,49.475,8396,0.196666666666667,18.64,62.56,0.48,3.272727273,0.366
"Meghalaya_2010","Meghalaya",2010,40,32.8,9226,0.196666666666667,18.64,62.56,0.48,3.272727273,0.366
"Meghalaya_2011","Meghalaya",2011,88.4041666666667,72.4533333333333,18028,0.196666666666667,18.64,74.43,0.48,3.272727273,0.366
"Meghalaya_2012","Meghalaya",2012,NA,NA,18323,0.196666666666667,18.64,74.43,0.403,3.272727273,0.366
"Meghalaya_2013","Meghalaya",2013,40,32.8,18397,0.196666666666667,35,74.43,0.403,3.272727273,0.366
"Meghalaya_2014","Meghalaya",2014,42.8333333333333,40.1097916666667,17893,0.196666666666667,35,74.43,0.403,3.987399771,0.366
"Meghalaya_2015","Meghalaya",2015,61.6071428571428,64.5459523809524,18330,0.196666666666667,35,74.43,0.403,3.987399771,0.27
"Meghalaya_2016","Meghalaya",2016,44.0596590909091,49.2017045454545,19295,0.196666666666667,35,74.43,0.403,3.987399771,0.27
"Meghalaya_2017","Meghalaya",2017,53.0133928571428,55.4985119047619,19964,0.196666666666667,35,74.43,0.403,3.987399771,0.27
"Meghalaya_2018","Meghalaya",2018,45.1472406593406,44.658256043956,20968,0.196666666666667,3.38,74.43,0.403,3.987399771,0.27
"Nagaland_2000","Nagaland",2000,NA,NA,3052,0.2175,76.67,66.59,0.765,3.99113082,0.332
"Nagaland_2001","Nagaland",2001,NA,NA,3402,0.2175,76.67,66.59,0.765,3.99113082,0.332
"Nagaland_2002","Nagaland",2002,NA,NA,3741,0.2175,76.67,66.59,0.765,3.99113082,0.332
"Nagaland_2003","Nagaland",2003,NA,NA,3912,0.2175,3.33,66.59,0.765,3.99113082,0.332
"Nagaland_2004","Nagaland",2004,NA,NA,5421,0.2175,3.33,66.59,0.765,2.852614897,0.332
"Nagaland_2005","Nagaland",2005,90.9479166666667,81.6864583333332,5986,0.2175,3.33,66.59,0.765,2.852614897,0.332
"Nagaland_2006","Nagaland",2006,83.4333333333333,68.41,6454,0.2175,3.33,66.59,0.765,2.852614897,0.332
"Nagaland_2007","Nagaland",2007,NA,NA,6978,0.2175,3.33,66.59,0.765,2.852614897,0.332
"Nagaland_2008","Nagaland",2008,NA,NA,7422,0.2175,5,66.59,0.765,2.852614897,0.332
"Nagaland_2009","Nagaland",2009,NA,NA,7842,0.2175,5,66.59,0.765,2.264150943,0.332
"Nagaland_2010","Nagaland",2010,NA,NA,8587,0.2175,5,66.59,0.765,2.264150943,0.332
"Nagaland_2011","Nagaland",2011,NA,NA,10554,0.2175,5,79.6,0.765,2.264150943,0.332
"Nagaland_2012","Nagaland",2012,NA,NA,11163,0.2175,5,79.6,0.765,2.264150943,0.332
"Nagaland_2013","Nagaland",2013,NA,NA,11923,0.2175,50,79.6,0.765,2.264150943,0.332
"Nagaland_2014","Nagaland",2014,92.3333333333333,94.5733333333333,12406,0.2175,50,79.6,0.765,3.082191781,0.332
"Nagaland_2015","Nagaland",2015,90,100.44,12600,0.2175,50,79.6,0.765,3.082191781,0.274
"Nagaland_2016","Nagaland",2016,79.1176470588235,89.7058823529412,13488,0.2175,50,79.6,0.765,3.082191781,0.274
"Nagaland_2017","Nagaland",2017,NA,NA,14178,0.2175,50,79.6,0.765,3.082191781,0.274
"Nagaland_2018","Nagaland",2018,NA,NA,15055,0.2175,16.67,79.6,0.765,3.082191781,0.274
"Odisha_2000","Odisha",2000,NA,NA,37386,0.264814814814815,20.4,63.08,0.583,3.168010556,0.486
"Odisha_2001","Odisha",2001,NA,NA,39662,0.264814814814815,20.4,63.08,0.583,3.443665339,0.486
"Odisha_2002","Odisha",2002,NA,NA,39377,0.264814814814815,20.4,63.08,0.583,3.443665339,0.486
"Odisha_2003","Odisha",2003,NA,NA,45127,0.264814814814815,20.4,63.08,0.583,3.443665339,0.486
"Odisha_2004","Odisha",2004,NA,NA,67987,0.264814814814815,15.64,63.08,0.583,3.443665339,0.486
"Odisha_2005","Odisha",2005,NA,NA,71005,0.264814814814815,15.64,63.08,0.583,1.891047519,0.486
"Odisha_2006","Odisha",2006,NA,NA,79845,0.264814814814815,15.64,63.08,0.583,1.891047519,0.486
"Odisha_2007","Odisha",2007,NA,NA,86692,0.264814814814815,15.64,63.08,0.583,1.891047519,0.486
"Odisha_2008","Odisha",2008,NA,NA,93207,0.264814814814815,15.64,63.08,0.583,1.891047519,0.486
"Odisha_2009","Odisha",2009,181.049103198614,148.796061996223,93957,0.264814814814815,51.7,63.08,0.583,1.891047519,0.486
"Odisha_2010","Odisha",2010,NA,NA,99880,0.264814814814815,51.7,63.08,0.583,1.537897659,0.486
"Odisha_2011","Odisha",2011,NA,NA,204226,0.264814814814815,51.7,72.89,0.583,1.537897659,0.486
"Odisha_2012","Odisha",2012,192.829066543478,158.91300754717,216301,0.264814814814815,51.7,72.89,0.483,1.537897659,0.486
"Odisha_2013","Odisha",2013,173.210387464709,142.433567219747,233122,0.264814814814815,51.7,72.89,0.483,1.537897659,0.486
"Odisha_2014","Odisha",2014,178.211127981896,146.506583333841,235931,0.264814814814815,68.7,72.89,0.483,1.537897659,0.486
"Odisha_2015","Odisha",2015,149.220265384818,123.196520766767,253192,0.264814814814815,68.7,72.89,0.483,1.620249316,0.36
"Odisha_2016","Odisha",2016,NA,NA,293348,0.264814814814815,68.7,72.89,0.483,1.620249316,0.36
"Odisha_2017","Odisha",2017,222.803414983764,185.373105167038,316192,0.264814814814815,68.7,72.89,0.483,1.620249316,0.36
"Odisha_2018","Odisha",2018,212.137760103618,176.203232871959,338339,0.264814814814815,68.7,72.89,0.483,1.620249316,0.36
"Pondicherry_2000","Pondicherry",2000,383.111111111111,321.033333333333,3305,0.316666666666667,6.67,81.24,0.713,4.411764706,NA
"Pondicherry_2001","Pondicherry",2001,349.166666666667,286.2,3529,0.316666666666667,13.33,81.24,0.713,4.411764706,NA
"Pondicherry_2002","Pondicherry",2002,496,406.583333333333,3879,0.316666666666667,13.33,81.24,0.713,4.945054945,NA
"Pondicherry_2003","Pondicherry",2003,NA,NA,4053,0.316666666666667,13.33,81.24,0.713,4.945054945,NA
"Pondicherry_2004","Pondicherry",2004,177,145.1,5033,0.316666666666667,13.33,81.24,0.713,4.945054945,NA
